Sight Word
a
able
about
above
across
add
after
again
against
ago
air
all
almost
along
also
always
am
America
among
an
and
animal
another
answer
any
apple
are
area
around
as
ask
at
ate
away
baby
back
ball
base
be
bear
became
because
become
bed
been
before
began
begin
behind
being
bell
below
best
better
between
big
bird
birds
birthday
black
blue
boat
body
book
both
box
boy
bread
bring
brother
brought
brown
building
built
but
buy
by
cake
call
called
came
can
cannot
car
carefully
carry
cat
certain
chair
change
check
chicken
children
Christmas
circle
city
class
Claus
clean
clear
close
coat
cold
color
come
common
complete
contain
corn
correct
could
country
course
covered
cow
cried
cut
dark
day
decided
deep
did
didn
different
do
does
dog
doll
don
don’t
done
door
down
draw
drink
dry
duck
during
each
early
earth
easy
eat
egg
eight
end
English
enough
equation
even
ever
every
example
explain
eye
eyes
face
fact
fall
family
far
farm
farmer
fast
father
feel
feet
few
field
figure
filled
finally
find
fine
fire
first
fish
five
floor
flower
fly
follow
food
for
force
form
found
four
friends
from
front
full
funny
game
garden
gave
get
girl
give
go
goes
going
good
goodbye
got
government
grass
great
green
ground
group
grow
had
half
hand
happened
hard
has
have
he
head
hear
heard
heat
heavy
help
her
here
high
hill
him
himself
his
hold
home
horse
hot
hours
house
how
however
hundred
hurt
I
I’ll
idea
if
important
in
inches
include
Indian
inside
into
is
island
it
its
jump
just
keep
kind
king
kitty
knew
know
known
land
language
large
last
late
laugh
learn
leave
left
leg
less
let
letter
life
light
like
line
list
listen
little
live
long
look
low
machine
made
make
man
many
map
mark
material
may
me
means
measure
men
might
mile
milk
minutes
miss
money
more
morning
most
mother
mountains
move
much
music
must
my
myself
name
near
need
nest
never
new
next
night
no
north
not
note
nothing
notice
noun
now
number
numeral
object
ocean
of
off
often
oh
oil
old
on
once
one
only
open
or
order
other
our
out
over
own
page
pair
paper
part
party
passed
pattern
people
person
pick
picture
piece
pig
place
plan
plane
plant
play
please
point
power
pretty
problem
produce
products
pull
pulled
put
questions
quickly
rabbit
rain
ran
reached
read
real
red
remember
rest
ride
right
ring
river
road
robin
rock
room
round
rule
run
said
same
Santa
saw
say
school
scientists
sea
second
see
seed
seem
seen
sentence
set
seven
several
shall
shape
she
sheep
ship
shoe
short
should
show
shown
side
since
sing
sister
sit
six
size
sleep
slowly
small
snow
so
some
something
sometimes
song
soon
sound
south
space
special
spell
squirrel
stand
stars
start
state
stay
step
stick
still
stood
stop
story
street
strong
study
such
sun
sure
surface
system
table
take
talk
tell
ten
than
thank
that
the
their
them
then
there
these
they
thing
things
think
this
those
though
thought
thousands
three
through
time
to
today
together
told
too
took
top
toward
town
toy
travel
tree
try
turn
two
under
understand
unit
until
up
upon
us
use
usually
verb
very
voice
vowel
wait
walk
want
war
warm
was
wash
watch
water
waves
way
we
week
well
went
were
what
wheels
when
where
which
while
white
who
whole
why
will
wind
window
wish
with
without
wood
words
work
world
would
write
years
yellow
yes
yet
you
young
your
